show,click
1,0
1,0
11,0
8,0
37,0
12,0
17,0
2,0
3,0
1,0
10,0
111,0
1,0
9,0
1,0
1,0
7,0
3,0
21,0
14,0
4,0
26,0
13,0
4,0
19,0
2,0
14,0
4,0
9,0
48,0
20,0
6,0
14,0
2,0
2,0
2,0
1,0
1,0
1,0
14,0
4,0
108,0
284,0
99,0
228,0
4,0
1,0
2,0
59,0
938,0
5874,0
32,0
181,0
29,0
66,0
1,0
2,0
4,0
4,0
2,0
10,0
9,0
2,0
2,0
2,0
2,0
5,0
4,0
4,0
8,0
1,0
5,0
8,0
1,0
1,0
1,0
1,0
13,0
11,0
2,0
1,0
2,0
3,0
1,0
3,0
1,0
1,0
1,0
2,0
2,0
3,0
4,0
6,0
42,0
19,0
11,0
5,0
2,0
10,0
4,0
3,0
61,0
11,0
2,0
7,0
3,0
1,0
16,0
23,0
2,0
